,text,clean
3849,Cumhurbaşkanı Yardımcısı Cevdet Yılmaz:   Memur ve memur emeklilerine yüzde 50 civarında zam yapılacak.,cumhurbaşkanı yardımcısı cevdet yılmaz memur memur emeklilerine yüzde civarında zam yapılacak
3850,"Antalya’da yanan bir araba, bomba gibi patladı.",antalya yanan araba bomba patladı
3851,İstanbul'da kiraların en çok arttığı 6 ilçe:  🔺Üsküdar: Yüzde 961 🔺Kağıthane: Yüzde 954 🔺Beykoz: Yüzde 889 🔺Başakşehir: Yüzde 879 🔺Küçükçekmece: Yüzde 861 🔺Eyüpsultan: Yüzde 804,istanbul kiraların arttığı ilçe üsküdar yüzde kağıthane yüzde beykoz yüzde başakşehir yüzde küçükçekmece yüzde eyüpsultan yüzde
3852,"Ticaret Bakanı Ömer Bolat, ""asgari ücreti bahane ederek"" fahiş fiyat artışlarına başlayanları uyardı:  Çok sıkı takipteyiz, zamları geri alın!",ticaret bakanı ömer bolat asgari ücreti bahane ederek fahiş fiyat artışlarına başlayanları uyardı sıkı takipteyiz zamları geri alın
3853,"Preply, dünyanın en çok göç edilen ülkelerini listeleyen bir çalışma yayımladı. Küresel göç istatistiklerine göre ABD, dünyanın en çok göç alan ülkesi oldu. Türkiye de göç sıralamasında ilk 15’te yer aldı.",preply dünyanın göç edilen ülkelerini listeleyen çalışma yayımladı küresel göç istatistiklerine göre abd dünyanın göç alan ülkesi oldu türkiye göç sıralamasında yer aldı
3854,"🖋️ Daha iyisi değil, en iyisi olmak için sizlerle birlikte çalışıyoruz.  23 Derece hesabımız, Ekim ayında ( 2,5 gün de kapalı olmasına rağmen ) 1,340,000,000 ( 1,34 Milyar ) görüntülenme, 45,600 yeni takipçi ile yoluna devam ediyor.  X platformunda hızlı, doğru ve özgün haberlerle karşınızda olmaya devam edeceğiz.  Sizlerde kurum ve firmanız için yer almak isterseniz ads@23derece.com.tr adresine mail atmanız yeterli…  TEŞEKKÜRLER",iyisi iyisi olmak sizlerle birlikte çalışıyoruz derece hesabımız ekim ayında gün kapalı olmasına milyar görüntülenme yeni takipçi yoluna devam ediyor platformunda hızlı doğru özgün haberlerle karşınızda olmaya devam edeceğiz sizlerde kurum firmanız yer almak isterseniz ads adresine mail atmanız yeterli teşekkürler
3855,"🖋️ Ticaret Bakanlığı düzenlemesi doğrultusunda gıda işletmeleri, bugünden itibaren tarife ve fiyat listelerine ilişkin belge, levha, pano ve benzerleri içerikleri görünür şekilde kafe ve restoranların önüne koyacak.",ticaret bakanlığı düzenlemesi doğrultusunda gıda işletmeleri bugünden itibaren tarife fiyat listelerine ilişkin belge levha pano benzerleri içerikleri görünür kafe restoranların önüne koyacak
3856,"➖ Bir akaryakıt istasyonu çalışanının, petrole gelen müşterilerden 5 TL tuvalet ücreti talep etmesi tepki çekti...",akaryakıt istasyonu çalışanının petrole gelen müşterilerden tuvalet ücreti talep etmesi tepki çekti
3857,"➖ Burası milli servet! Son yıllarda tehlike saçıyor!  Zeytinburnu Stadyumu 9 yıldan bu yana süren davalar nedeniyle atıl duruma geldi.   9 yıldır kullanılmayan stadyum uyuşturucu bağımlılarının meskeni haline geldi.  ""984 yılından 2014 yılına kadar Zeytinburnuspor’a ev sahipliği yapan stadyumun üzerinde bulunduğu 42 bin metrekarelik arazi, 2014 yılında Vakıflar Genel Meclisi’nin kararıyla Yedikule Surp Pırgiç Ermeni Hastanesi Vakfı’na verilmişti.   Arazinin vakıfa verilmesiyle birlikte, Zeytinburnu Belediyesi, arazinin tekrar kendilerine tescil edilmesi için mahkemeye başvurdu. Belediyenin açtığı dava 9 yıldır devam ederken stadyum uyuşturucu bağımlılarının meskeni haline geldi.",burası milli servet yıllarda tehlike saçıyor zeytinburnu stadyumu yıldan yana süren davalar nedeniyle atıl duruma yıldır kullanılmayan stadyum uyuşturucu bağımlılarının meskeni haline yılından yılına zeytinburnuspor sahipliği yapan stadyumun üzerinde bulunduğu metrekarelik arazi yılında vakıflar genel meclisi kararıyla yedikule surp pırgiç ermeni hastanesi vakfı verilmişti arazinin vakıfa verilmesiyle birlikte zeytinburnu belediyesi arazinin tekrar kendilerine tescil edilmesi mahkemeye başvurdu belediyenin açtığı dava yıldır devam ederken stadyum uyuşturucu bağımlılarının meskeni haline
3858,"➖ İstanbul'un enflasyonu 10 ayın zirvesinde!  İstanbul Ticaret Odası’na göre İstanbul'un aralık ayında yıllık enflasyonu yüzde 74,88, aylık enflasyonu yüzde 3,52 oldu.",istanbul enflasyonu ayın zirvesinde istanbul ticaret odası göre istanbul aralık ayında yıllık enflasyonu yüzde aylık enflasyonu yüzde oldu
3859,"➖ Malatya halay ekibi sahneye bekleniyor...  AK Parti'nin kalesi Malatya'da daha önce 8 TL'ye satılan simitler, 1 Ocak 2024 itibariyle 10 TL'ye yükseldi.",malatya halay ekibi sahneye bekleniyor ak parti kalesi malatya satılan simitler ocak itibariyle yükseldi
3860,"📌 ''Saype'' adıyla bilinen Fransız sanatçı Guillaume Legros, Hatay'daki fay hattının etkilediği araziye resim çalışması yaptı.",adıyla bilinen fransız sanatçı guillaume legros hatay fay hattının etkilediği araziye resim çalışması yaptı
3861,"➖ Kaza mı yoksa faili bilinen bir cinayet mi!   Gazeteci Barış Terkoğlu (@baristerkoglu), Somali Cumhurbaşkanı'nın oğluyla ilgili çarpıcı bir iddiayı gündeme getirdi:   ""Asıl dikkat çeken ise Şeyh Mahmut’un görüntülerde adeta hedef alır gibi kuryeye çarpması.   Biraz üstüne düşünce ilginç bir bilgiyle karşılaştım. Bu, Şeyh Mahmut’un ilk trafik hadisesi değildi.   Daha önce, İstanbul Ataşehir’de, L.A. isimli bir kadınla tartışmış, ardından takip edip trafikte sıkıştırmıştı. L.A. yaşadıklarını dün gibi hatırlıyordu.   Keşke kurye Göçer ile Şeyh Mahmut arasında olay anından önce bir trafik tartışması olmuş mu bakılsa diye düşündüm. Kamera kayıtlarının geriye doğru taranmasıyla bu olay açıklığa kavuşabilirdi.   Dosyayı bilenlerden öğrendim ki maalesef böyle bir araştırma yapılmamış. Olay bu açıdan sorgulanmamış. Böyle bir araştırma belki de kaza sandığımızın bir cinayet olduğunu açığa çıkarabilir.""",kaza faili bilinen cinayet gazeteci barış terkoğlu somali cumhurbaşkanı oğluyla ilgili çarpıcı iddiayı gündeme getirdi asıl dikkat çeken şeyh mahmut görüntülerde adeta hedef alır kuryeye çarpması biraz üstüne düşünce ilginç bilgiyle karşılaştım şeyh mahmut trafik hadisesi değildi istanbul ataşehir isimli kadınla tartışmış ardından takip edip trafikte sıkıştırmıştı yaşadıklarını dün hatırlıyordu keşke kurye göçer şeyh mahmut arasında olay anından trafik tartışması olmuş bakılsa düşündüm kamera kayıtlarının geriye doğru taranmasıyla olay açıklığa kavuşabilirdi dosyayı bilenlerden öğrendim maalesef araştırma yapılmamış olay açıdan sorgulanmamış araştırma kaza sandığımızın cinayet olduğunu açığa çıkarabilir
3862,"✒️ Akaryakıttan, ekmeğe her şeye zam!  Köprü ve otoyol geçişlerinden, vergilere, akaryakıta ve ekmeğe kadar hayatı doğrudan etkileyen pek çok alanda yapılan zamlarla ilgili olarak Prof. Dr. Veysel Ulusoy:  “Zam yağmurunu başlatan ekonomi yönetimi, enflasyon düşecek yalanı ile kandırıyor sizi. Not edin!”  @ekonomikanaliz",akaryakıttan ekmeğe zam köprü otoyol geçişlerinden vergilere akaryakıta ekmeğe hayatı doğrudan etkileyen pek alanda yapılan zamlarla ilgili prof veysel ulusoy zam yağmurunu başlatan ekonomi yönetimi enflasyon düşecek yalanı kandırıyor edin
3863,"➖ Bir Özışık vakası daha...  Hadi Özışık’ın kardeşi Baki Özışık:  ""Sinan Ateş bir haindi, MHP de gereğini yaptı.""  #SinanAteş",özışık vakası hadi özışık kardeşi baki özışık sinan ateş haindi mhp gereğini yaptı
3864,"📌 İstanbul'da bir şahıs, Filistin'e destek yürüyüşünde hilafet bayrağı açan bir kişiye yumruk attı. Yumruk atan şahıs, ''Biz Türküz, bir Türk olamadınız dedi.  Yumruk yiyen ise, ''Ben hem Türküm hem Müslümanım'' diyerek isyan etti.",istanbul şahıs filistin destek yürüyüşünde hilafet bayrağı açan kişiye yumruk attı yumruk atan şahıs türküz türk olamadınız dedi yumruk yiyen türküm müslümanım diyerek isyan etti
3865,➖ Zincir marketlerin etiket seferberliği...  Asgari ücretin 17 bin 2 lira olmasının ardından zamlı maaşlar halkın eline geçmeden marketler etiket fiyatlarını yeni yıl itibariyle değiştirdi...,zincir marketlerin etiket seferberliği asgari ücretin lira olmasının ardından zamlı maaşlar halkın eline geçmeden marketler etiket fiyatlarını yeni yıl itibariyle değiştirdi
3866,"➖ 2024 ekonomide böyle başladı! Sene sonunu düşünmeye gerek bile yok...  Rize'de bir esnaf çay parasını ödemeyen müşterilerini rencide etmeden ücretini istemenin yolunu böyle buldu.  ""Çay 7.50, yarım çay bulunur!""",ekonomide başladı sene sonunu düşünmeye gerek yok rize esnaf çay parasını ödemeyen müşterilerini rencide etmeden ücretini istemenin yolunu buldu çay yarım çay bulunur
3867,➖ Japonya'da 7.4 büyüklüğündeki depremin ardından Tsunami uyarıları yapılıyordu. Japonya'da dalga boyları yükselmeye başladı...  #deprem,japonya büyüklüğündeki depremin ardından tsunami uyarıları yapılıyordu japonya dalga boyları yükselmeye başladı
3868,➖ Konya'da itfaiye eri Murat Tanık kayınpederinin evinin balkonunda bulunan anteni tamir ederken ikinci katın balkonundan düşerek hayatını kaybetti.,konya itfaiye eri murat tanık kayınpederinin evinin balkonunda bulunan anteni tamir ederken ikinci katın balkonundan düşerek hayatını kaybetti
3869,"➖ Hakkari yeni yıl öncesi art arda sallandı...   Hakkari Valisi Ali Çelik yaşanan depremlerin ardından meydana gelen hasarın boyutunu açıkladı:   ""28 Ev ve 1 ahırda çatlaklar ortaya çıktı!""",hakkari yeni yıl öncesi art arda sallandı hakkari valisi ali çelik yaşanan depremlerin ardından meydana gelen hasarın boyutunu açıkladı ahırda çatlaklar ortaya çıktı
3870,"📌 Vergi Uzmanı Ozan Bingöl, 'moralinizi bozmak istemem' dedi ama moraller bozuldu:  ""Değerli arkadaşlar yılın son günü moralinizi bozmak istemem ama zamlar bitmeyecek, 3 Ocak tarihinde de devam edecek. Aksi bir karar alınmazsa 3 Ocak 2024 tarihinde otomatik olarak akaryakıt ve alkol ürünlerine uygulanan ÖTV tutarlarına altı aylık ÜFE oranında, yaklaşık yüzde 25’in üzerinde zam gelecektir.""  @ozanbingoll",vergi uzmanı ozan bingöl bozmak istemem dedi moraller bozuldu değerli arkadaşlar yılın günü moralinizi bozmak istemem zamlar bitmeyecek ocak tarihinde devam edecek aksi karar alınmazsa ocak tarihinde otomatik akaryakıt alkol ürünlerine uygulanan ötv tutarlarına aylık üfe oranında yaklaşık yüzde üzerinde zam gelecektir
3871,➖ Japonya'da 7.4 büyüklüğündeki deprem anı...  Deprem sonrası yıkılan evler ve insanların sokaktaki bekleyişi kameralara yansıdı...,japonya büyüklüğündeki deprem anı deprem sonrası yıkılan evler insanların sokaktaki bekleyişi kameralara yansıdı
3872,"📌 Bilal Erdoğan, sermaye sahiplerini korkuttu:  “Boykota devam edeceğimize söz veriyor muyuz? Sermaye sahipleri ayağını denk alsınlar.”",bilal erdoğan sermaye sahiplerini korkuttu boykota devam edeceğimize söz veriyor muyuz sermaye sahipleri ayağını denk alsınlar
3873,"📌 Mersin'in Erdemli ilçesinde tavuk besleyen Cennet Gezer, kümeste, adı ve soyadının baş harflerinin yazılı olduğu yumurtalar bulduğunu söyledi. Şaşkın kadın, adının baş harflerini yumurtlayan tavuğu artık fazla yemle ödüllendirdiğini açıkladı:  ""26 yıldır tavuk besliyorum ilk defa böyle bir şeyle karşılaşıyorum. Bana çok ilginç geldi, dikkatimi çekti. İsmimin baş harfleri yazıyor yumurtada ilk defa böyle bir şey görüyorum. Bir dane yumurtayı aldım 'C' harfini, diğerinde de 'G' harfini gördüm. Sürpriz oldu bana.""",mersin erdemli ilçesinde tavuk besleyen cennet gezer kümeste adı soyadının baş harflerinin yazılı olduğu yumurtalar bulduğunu söyledi şaşkın kadın adının baş harflerini yumurtlayan tavuğu fazla yemle ödüllendirdiğini açıkladı yıldır tavuk besliyorum şeyle karşılaşıyorum ilginç dikkatimi çekti ismimin baş harfleri yazıyor yumurtada görüyorum dane yumurtayı aldım harfini diğerinde harfini gördüm sürpriz oldu
3874,"📌 Japonya'da meydana gelen 7,4 büyüklüğündeki depremden sonra boyu 5 metreye ulaşabilecek tsunami uyarısı yapılmıştı.  Depremden sonra çekilen bu görüntülerde deniz suyunun çekildiği iddia edildi!",japonya meydana gelen büyüklüğündeki depremden boyu metreye ulaşabilecek tsunami uyarısı yapılmıştı depremden çekilen görüntülerde deniz suyunun çekildiği iddia edildi
3875,"📌 İnsanlara aylık ne kadar kira ödediğini soran ve evlerini ziyaret eden sosyal medya fenomeni, bu kez 19 yaşındaki öğrencinin evine konuk oldu.",insanlara aylık kira ödediğini soran evlerini ziyaret eden sosyal medya fenomeni yaşındaki öğrencinin evine konuk oldu
3876,"📌 Yılbaşı kutlamak da haram oldu!  Kendisine mikrofon uzatılan bir şahıs, yılbaşı kutlamanın haram olduğunu söyledi.",yılbaşı kutlamak haram oldu kendisine mikrofon uzatılan şahıs yılbaşı kutlamanın haram olduğunu söyledi
3877,"📌 Japonya'da meydana gelen 7,4'lük depremin görüntüleri ortaya çıktı.",japonya meydana gelen depremin görüntüleri ortaya çıktı
3878,"📌 Berat Albayrak, İstanbul'da yapılan Filistin mitinginde görüldü.  @AdemMetan",berat albayrak istanbul yapılan filistin mitinginde görüldü
3879,🖋️ Van'da kent genelinde 2023 yılında düzenlenen 995 operasyonda 9 ton 981 kilo 928 gram uyuşturucu bulundu. Operasyonlarda gözaltına alınan 1247 şüpheli hakkında işlem yapıldı.,van kent genelinde yılında düzenlenen operasyonda ton kilo gram uyuşturucu bulundu operasyonlarda gözaltına alınan şüpheli hakkında işlem yapıldı
3880,📌 Suudi Arabistan ve Birleşik Arap Emirlikleri'nin ardından Katar da yılbaşına büyük bir coşkuyla girdi!,suudi arabistan birleşik arap emirlikleri ardından katar yılbaşına büyük coşkuyla girdi
3881,"📌 Japonya'da tsunami uyarısı yapıldı!  Japonya'da 5 dakika arayla meydana gelen 5.7 ve 7.4'lük depremlerin ardından ülkenin tüm batı kıyıları için tsunami tehdidi olduğu açıklanırken, hasar ve can kayıpları hakkında henüz herhangi bir bilgi verilmedi.  Dalga yüksekliğinin 5 metreye ulaşabileceği ve kıyı bölgesinin derhal terk edilmesi çağrısı yapıldı.",japonya tsunami uyarısı yapıldı japonya dakika arayla meydana gelen depremlerin ardından ülkenin batı kıyıları tsunami tehdidi olduğu açıklanırken hasar kayıpları hakkında herhangi bilgi verilmedi dalga yüksekliğinin metreye ulaşabileceği kıyı bölgesinin derhal terk edilmesi çağrısı yapıldı
3882,"🖋️ Sözcü yazarı İsmail Saymaz, ünlü futbolcular dahil onlarca kişiyi dolandırdığı suçlamasıyla yargılanan Denizbank Şube Müdürü Seçil Erzan'ın 20 Kasım’da görülen ilk duruşmadaki savunmasında ""Ben dolandırıldım. Borçlu duruma düşen benim. İnsanlar mal mülk sahibi oldular"" dediğini aktardı.",sözcü yazarı ismail saymaz ünlü futbolcular dahil onlarca kişiyi dolandırdığı suçlamasıyla yargılanan denizbank şube müdürü seçil erzan kasım görülen duruşmadaki savunmasında dolandırıldım borçlu duruma düşen insanlar mal mülk sahibi oldular dediğini aktardı
3883,"📌 Yeni yılda her şey güzel olacak derken hevesler kursakta kaldı!  Yeni hat sahibi olacak vatandaşlar, faturalı ya da faturasız hat farketmeksizin tek seferlik 400 TL Özel İletişim Vergisi ödeyecek.",yeni yılda güzel olacak derken hevesler kursakta kaldı yeni hat sahibi olacak vatandaşlar faturalı faturasız hat farketmeksizin tek seferlik özel iletişim vergisi ödeyecek
3884,"➖ Piyasalar yeni yıla hareketli başladı!  Dolar yeni yılın ilk gününe 29,51 lira, Euro ise 32,74 lira seviyesinde işlem görerek başladı.",piyasalar yeni yıla hareketli başladı dolar yeni yılın gününe lira euro lira seviyesinde işlem görerek başladı
3885,"➖ Polatgillerin avukatı, cezaevinde tutuklu olan Dilan Polat’ın yaşadığı sağlık sıkıntıları ve cezaevi koşulları nedeniyle felç kalabileceğini söyledi.",polatgillerin avukatı cezaevinde tutuklu dilan polat yaşadığı sağlık sıkıntıları cezaevi koşulları nedeniyle felç kalabileceğini söyledi
3886,"🖋️ İsrail, ablukaya aldığı Gazze'de saldırılarını sürdürüyor. Gece boyunca saldırıların aralıksız sürdüğü En-Nusayrat ve Cibaliye Mülteci kamplarında aralarında kadın ve çocukların da bulunduğu çok sayıda Filistinli hayatını kaybetti ve yaralandı. İsrail, 7 Ekim'deki saldırılarda 1200 İsraillinin öldüğünü, 5 bin 132 kişinin de yaralandığını açıkladı.",israil ablukaya aldığı gazze saldırılarını sürdürüyor gece boyunca saldırıların aralıksız sürdüğü ennusayrat cibaliye mülteci kamplarında aralarında kadın çocukların bulunduğu sayıda filistinli hayatını kaybetti yaralandı israil ekim saldırılarda israillinin öldüğünü kişinin yaralandığını açıkladı
3887,"➖ #SonDakika Japonya'da 7,4 büyüklüğünde deprem meydana geldi. Noto Yarımadası'nda beklenen Tsunami için alarm verildi.",japonya büyüklüğünde deprem meydana noto yarımadası beklenen tsunami alarm verildi
3888,"➖ Büyük ikramiye, Milli Piyango Online’dan alınan 1 tam bilete çıktı.  #HappyNewYear Mutlu #Yilbasi",büyük ikramiye milli piyango online alınan tam bilete çıktı mutlu
3889,"➖ Avrupa Birliği Komisyonu, 2024 itibarıyla şarj cihazlarının her elektronik alet için tek tip şekilde üretilmeye başlayarak ‘ortak şarj’ sistemine geçeceklerini duyurdu.",avrupa birliği komisyonu itibarıyla şarj cihazlarının elektronik alet tek üretilmeye başlayarak ortak şarj sistemine geçeceklerini duyurdu
3890,🖋️ İran'da farklı eyaletlerde 4’ü hayvan hırsızlığı olmak üzere toplam 14 soygun olayına karışan 5 kişi idam edildi.,iran farklı eyaletlerde hayvan hırsızlığı olmak toplam soygun olayına karışan kişi idam edildi
3891,"🖋️ İstanbul'un Beykoz ilçesinde direksiyon hakimiyetini kaybeden motosiklet sürücüsü Oğuzhan Emeç, yol kenarındaki elektrik panosuna çarptı. Yaralanan sürücü, kaldırıldığı hastanede hayatını kaybetti.",istanbul beykoz ilçesinde direksiyon hakimiyetini kaybeden motosiklet sürücüsü oğuzhan emeç yol kenarındaki elektrik panosuna çarptı yaralanan sürücü kaldırıldığı hastanede hayatını kaybetti
3892,"➖ Tarihçi Prof. Dr. İlber Ortaylı'nın yılbaşı konuşması yeniden gündem oldu.    ""Yılbaşında inadına uyurum. Yatar uyurum. Gıcıklık olsun diye uyurum.""  #HappyNewYear Mutlu #Yilbasi",tarihçi prof ilber ortaylı yılbaşı konuşması yeniden gündem oldu yılbaşında inadına uyurum yatar uyurum gıcıklık olsun uyurum mutlu
3893,➖ İbo Show'un yılbaşı programındaki abartı filtre sosyal medyada viral oldu...  #HappyNewYear Mutlu #Yilbasi,ibo yılbaşı programındaki abartı filtre sosyal medyada viral oldu mutlu
3894,"➖ Antalya’da ""Yaz kış denize girenler"" grubu 2024 yılına da denizde ""merhaba"" dedi.  #HappyNewYear Mutlu #Yilbasi",antalya yaz kış denize girenler grubu yılına denizde merhaba dedi mutlu
3895,"🖋️ İçişleri Bakanı Ali Yerlikaya, İstanbul, Ankara ve İzmir’de Düzensiz Göçmenlere yönelik yılbaşı gecesi düzenlenen “KALKAN-6” Operasyon ve Denetimlerinde 121 düzensiz göçmen yakalandığını duyurdu.",içişleri bakanı ali yerlikaya istanbul ankara izmir düzensiz göçmenlere yönelik yılbaşı gecesi düzenlenen kalkan operasyon denetimlerinde düzensiz göçmen yakalandığını duyurdu
3896,➖ AK Parti'nin kalesi Bursa’da da ekmeğe zam geldi. Yeni tarifeye göre; 1 Ocak 2024 tarihi itibarıyla Bursa’da 250 gram ekmek 10 liradan satılacak.,ak parti kalesi bursa ekmeğe zam yeni tarifeye göre ocak tarihi itibarıyla bursa gram ekmek liradan satılacak
3897,"➖ İranlı turistler, yeni yıl dolayısıyla geldikleri Van'da eğlence mekanlarını doldurdu. Müzikler eşliğinde doyasıya eğlenen İranlılar, 'mutlu yıllar' diyerek yeni yılı karşıladı.  #HappyNewYear📷 #Yilbasi Mutlu",iranlı turistler yeni yıl dolayısıyla geldikleri van eğlence mekanlarını doldurdu müzikler eşliğinde doyasıya eğlenen iranlılar yıllar diyerek yeni yılı karşıladı mutlu
3898,"➖ Depremzedeler çözüm bekliyor! Verilen sözler uçtu mu?  Ülke, tarihinin en büyük ve yıkıcı deprem felaketlerinden birini yaşadı.   Asrın felaketi olarak nitelendirilen ve 11 şehri vuran Kahramanmaraş merkezli iki büyük depremde 50 binden fazla kişi yaşamını yitirdi.   Göz göre göre gelen felaketin üzerinden aylar geçti ancak yıkımın acısı dinmedi. İktidarın ise depremzedelere verdiği sözler havada kaldı.  Depremin ardından bölgede kentsel dönüşüm değil sermaye için rantsal dönüşüm başladı.  Kış aylarının gelmesiyle geceleri havanın -10 derecelere kadar indiğini belirten depremzedeler evlerine kavuşmak istiyor.  (BirGün)",depremzedeler çözüm bekliyor verilen sözler uçtu ülke tarihinin büyük yıkıcı deprem felaketlerinden birini yaşadı asrın felaketi nitelendirilen şehri vuran kahramanmaraş merkezli büyük depremde binden fazla kişi yaşamını yitirdi göz göre göre gelen felaketin üzerinden aylar geçti yıkımın acısı dinmedi iktidarın depremzedelere verdiği sözler havada kaldı depremin ardından bölgede kentsel dönüşüm sermaye rantsal dönüşüm başladı kış aylarının gelmesiyle geceleri havanın derecelere indiğini belirten depremzedeler evlerine kavuşmak istiyor birgün
3899,"🖋️ TFF Başkanı Mehmet Büyükekşi'den yeni yıl mesajı: ""Bizlere unutulmaz başarılar kazandıran tüm takım ve sporcularımızı yürekten kutluyorum""",tff başkanı mehmet büyükekşi yeni yıl mesajı bizlere unutulmaz başarılar kazandıran takım sporcularımızı yürekten kutluyorum
3900,"➖ Hastalara şiddet kayda geçti!  Türkiye İnsan Hakları ve Eşitlik Kurumu, Manisa Ruh Sağlığı ve Hastalıkları Hastanesi’ndeki hak ihlallerini inceledi.   Hastanede yapılan ziyarete ilişkin raporda, personelin hastalara yönelik sözlü şiddet iddialarına yer verilirken raporda söz konusu iddiaların hâlâ varlığını sürdürdüğü tespit edildi.  Hastane kayıtlarında hastaların '1-2 saat kaldığı' tespit odasında 6 saat tutulduğu da ortaya çıktı.  Aynı zamanda kız çocukların, iğne uygulaması sırasında bazı bölgelerinin açılması ve erkek güvenlik görevlilerinin odada olması nedeniyle rahatsız olduklarına ilişkin ifadeleri raporda yer aldı.",hastalara şiddet kayda geçti türkiye insan hakları eşitlik kurumu manisa ruh sağlığı hastalıkları hastanesi hak ihlallerini inceledi hastanede yapılan ziyarete ilişkin raporda personelin hastalara yönelik sözlü şiddet iddialarına yer verilirken raporda söz konusu iddiaların varlığını sürdürdüğü tespit edildi hastane kayıtlarında hastaların saat kaldığı tespit odasında saat tutulduğu ortaya çıktı aynı zamanda kız çocukların iğne uygulaması sırasında bölgelerinin açılması erkek güvenlik görevlilerinin odada olması nedeniyle rahatsız olduklarına ilişkin ifadeleri raporda yer aldı
3901,"➖ CHP Malatya Milletvekili Veli Ağbaba:  ""AK Parti emekçileri açlığa mahkum etti. Fabrikalar, atölyeler ve madenler işçi mezarlığına dönüştü. 2023 yılı çalışanları silindir gibi ezip geçti.",chp malatya milletvekili veli ağbaba ak parti emekçileri açlığa mahkum etti fabrikalar atölyeler madenler işçi mezarlığına dönüştü yılı çalışanları silindir ezip geçti
3902,"🖋️ 2023 yılı, sağlıkta ilaç yokluğu, ertelenen ameliyatlar, sağlıkta şiddet, meslek örgütlerine yönelik yoğun baskı, gerici kuşatma, ekonomik kriz ve mücadele ile geçti.   Türk Tabipleri Birliği'ne, yurt dışında çalışabilmek için iyi hal belgesine başvuran sayısı, geçen yıl 2 bin 685 iken bu yıl 3 bin 25'e yükseldi. Yalnızca Aralık ayında başvuran hekim sayısı 240 olarak yer aldı. Başvuru sayısı 11 yılda 60 kat artarak yıllık 3 bini aşması dikkat çekti.",yılı sağlıkta ilaç yokluğu ertelenen ameliyatlar sağlıkta şiddet meslek örgütlerine yönelik yoğun baskı gerici kuşatma ekonomik kriz mücadele geçti türk tabipleri birliği yurt dışında çalışabilmek iyi hal belgesine başvuran sayısı geçen yıl iken yıl yükseldi yalnızca aralık ayında başvuran hekim sayısı yer aldı başvuru sayısı yılda kat artarak yıllık bini aşması dikkat çekti
3903,"➖ Ekonominin getirdiği nokta: 2024 yılına fakir başladı!  ""Son dakika sürpriz olmazsa, bu yılı da fakir olarak bitireceğim."" diyen vatandaş sosyal medyada viral oldu.  #HappyNewYear #Yilbasi Mutlu",ekonominin getirdiği nokta yılına fakir başladı dakika sürpriz olmazsa yılı fakir bitireceğim diyen vatandaş sosyal medyada viral oldu mutlu
3904,"➖ Ankara’da bir AVM’nin servisinden yararlanmak isteyen vatandaş, alışveriş fişini kaybedince güvenlikler tarafından darp edilerek yaka paça araçtan atıldı. Diğer müşteriler duruma isyan etti.",ankara avm servisinden yararlanmak isteyen vatandaş alışveriş fişini kaybedince güvenlikler tarafından darp edilerek yaka paça araçtan atıldı müşteriler duruma isyan etti
3905,"➖ DEM Parti Genel Merkezi’nin resmi X (Twitter) hesabından yapılan Tahir Demirtaş paylaşımı tepkiye neden oldu.  ""Yıldızlar yoldaşı olsun..""",dem parti genel merkezi resmi twitter hesabından yapılan tahir demirtaş paylaşımı tepkiye oldu yıldızlar yoldaşı olsun
3906,➖ Çanakkale'de etkili olan yoğun sis yüzünden görüş mesafesinin düşmesi nedeniyle boğaz trafiği çift yönlü geçici olarak askıya alındı.,çanakkale etkili yoğun sis yüzünden görüş mesafesinin düşmesi nedeniyle boğaz trafiği çift yönlü geçici askıya alındı
3907,"➖ Asgari ücretin açıklanmasının ardından devlet memurları, sözleşmeliler ve emekliler maaş artışına odaklandı.   3 Ocak Çarşamba günü açıklanacak enflasyon oranının ardından maaş artış oranı da belli olacak.",asgari ücretin açıklanmasının ardından devlet memurları sözleşmeliler emekliler maaş artışına odaklandı ocak çarşamba günü açıklanacak enflasyon oranının ardından maaş artış oranı belli olacak
3908,"✒️ Ünlü komedyen Yasemin Sakallıoğlu “Kim Milyoner Olmak İster” adlı yarışma programında yine güldürdü.   Evli çiftlerin gümüş ve altın yılı ile ilgili soruda:   “25 yılı bulan bile yok, boşanmalar arttı” dedi.",ünlü komedyen yasemin sakallıoğlu milyoner olmak ister adlı yarışma programında güldürdü evli çiftlerin gümüş altın yılı ilgili soruda yılı bulan yok boşanmalar arttı dedi
3909,📌 Türkiye ile aynı anda 2024’e giren Suudi Arabistan da yılbaşına büyük bir coşkuyla giriş yaptı.,türkiye aynı anda giren suudi arabistan yılbaşına büyük coşkuyla giriş yaptı
3910,"📌 Tebliğciler olarak bilinen islamcı grup, yeni yıl kutlamaları öncesinde Taksim Meydanı’nda, üzerinde ""Ey Müslüman Kardeşim"" yazılı olan bildirileri dağıttı.",tebliğciler bilinen islamcı grup yeni yıl kutlamaları öncesinde taksim meydanı üzerinde müslüman kardeşim yazılı bildirileri dağıttı
3911,"➖ Haluk Levent 2024 yılına, 6 Şubat depremlerini derinden hisseden Hatay'ın Antakya ilçesinde yaşayan depremzedelerle şarkı söyleyerek girdi.  @haluklevent #HappyNewYear Mutlu #Yilbasi",haluk levent yılına şubat depremlerini derinden hisseden hatay antakya ilçesinde yaşayan depremzedelerle şarkı söyleyerek girdi mutlu
